Time,PV,FP,FY,ECP,ECY,EFP,EFY,LA,LREF,LA Corr,Tamb,TB,S1A,S1B,S1C,S1D,S2A,S2B,S2C,S2D,VEC,AZM,MArm,FSum,PTorque,YTorque,TorqueSum,PFdbkDeg,YFdbkDeg,FdbkDegSum,Coeff1,Coeff2,Coeff3,S3A,S3B,S3C,S3D,AP-X,AP-Y,AY-X,AY-Y
0.00,300,1200,1180,0.10,0.12,0.11,0.13,0.20,0.21,0.19,70,68,100,102,98,101,99,97,96,98,0.5,45,2.00,175.5,210,140,,2.5,2.5,5.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
0.10,302,1205,1185,0.10,0.12,0.11,0.13,0.20,0.21,0.19,70,68,100,102,98,101,99,97,96,98,0.5,45,2.05,261.0,336,224,,3.0,3.0,6.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
0.20,304,1210,1190,0.10,0.12,0.11,0.13,0.21,0.22,0.20,70,68,100,102,98,101,99,97,96,98,0.5,45,2.10,344.1,462,308,,3.5,3.5,7.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
0.30,306,1215,1195,0.10,0.12,0.11,0.13,0.21,0.22,0.20,70,68,100,102,98,101,99,97,96,98,0.5,45,2.20,491.0,616,410,,4.0,4.0,8.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
0.40,308,1220,1200,0.10,0.12,0.11,0.13,0.22,0.23,0.21,70,68,100,102,98,101,99,97,96,98,0.5,45,2.30,630.4,770,513,,4.5,4.5,9.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
0.50,310,1225,1205,0.10,0.12,0.11,0.13,0.22,0.23,0.21,70,68,100,102,98,101,99,97,96,98,0.5,45,2.40,806.7,952,635,,5.0,5.0,10.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
0.60,312,1230,1210,0.10,0.12,0.11,0.13,0.23,0.24,0.22,70,68,100,102,98,101,99,97,96,98,0.5,45,2.50,980.0,1120,746,,5.5,5.5,11.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
0.70,314,1235,1215,0.10,0.12,0.11,0.13,0.23,0.24,0.22,70,68,100,102,98,101,99,97,96,98,0.5,45,2.55,1190.0,1302,868,,6.0,6.0,12.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
0.80,316,1240,1220,0.10,0.12,0.11,0.13,0.24,0.25,0.23,70,68,100,102,98,101,99,97,96,98,0.5,45,2.60,1390.0,1470,980,,6.5,6.5,13.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
0.90,318,1245,1225,0.10,0.12,0.11,0.13,0.24,0.25,0.23,70,68,100,102,98,101,99,97,96,98,0.5,45,2.40,1630.0,1680,1120,,7.0,7.0,14.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
1.00,320,1250,1230,0.10,0.12,0.11,0.13,0.25,0.26,0.24,70,68,100,102,98,101,99,97,96,98,0.5,45,2.20,1950.0,1890,1260,,7.5,7.5,15.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
1.10,322,1255,1235,0.10,0.12,0.11,0.13,0.25,0.26,0.24,70,68,100,102,98,101,99,97,96,98,0.5,45,2.10,2280.0,2100,1400,,8.0,8.0,16.0,1.0,0.9,1.1,103,105,102,104,0.3,0.4,0.5,0.6
